"","UNIQUE_CARRIER_NAME","YEAR","MONTH","sum_seats","sum_passengers","sum_distance","sum_airtime","Date","log_passenger","log_seats","log_airtime","log_distance"
"211","Albinati Aeronautics SA",2015,10,12,5,1114,0,2015-10-01,1.79175946922805,2.56494935746154,0,7.01660968389422
"212","Albinati aviation Limited",2015,8,13,2,571,0,2015-08-01,1.09861228866811,2.63905732961526,0,6.3491389913798
"213","Allegiant Air",2015,1,755343,650244,651009,578074,2015-01-01,13.3851044939311,13.5349285536028,13.2674588970222,13.3862802820558
"214","Allegiant Air",2015,2,772322,671745,634562,594552,2015-02-01,13.4176355718638,13.557158135287,13.295565141686,13.3606918519877
"215","Allegiant Air",2015,3,1056591,946313,660767,812070,2015-03-01,13.7603297168495,13.8705591922281,13.6073430537449,13.4011580738662
"216","Allegiant Air",2015,4,899668,768871,607434,678636,2015-04-01,13.5526797846985,13.7097821968818,13.4278416538659,13.3170004525876
"217","Allegiant Air",2015,5,878297,758208,637908,649104,2015-05-01,13.5387143522129,13.6857412227763,13.3833497699652,13.365950918925
"218","Allegiant Air",2015,6,1069781,951197,691687,773670,2015-06-01,13.7654775217493,13.8829654473629,13.5589019976068,13.4468902658767
"219","Allegiant Air",2015,7,1173386,1062910,708985,845304,2015-07-01,13.8765219285132,13.9754049964966,13.6474527879593,13.471591059198
"220","Allegiant Air",2015,8,954952,822502,741868,685452,2015-08-01,13.6201074090314,13.7694174035921,13.4378352125413,13.5169279566975
